,SEX,VEH,SEX_S,AGE_index,AGE_S_index,PINCP_index,PINCP_S_index
421,2,2,2,13,13,8,4
422,2,2,1,15,9,3,3
423,2,1,1,9,10,5,5
424,2,0,1,8,5,1,1
425,1,2,1,13,12,8,5
426,2,2,1,16,14,8,6
427,1,2,1,17,16,8,7
428,2,1,1,15,7,3,2
429,1,1,2,15,12,8,8
430,1,0,2,10,9,3,1
431,2,0,2,6,6,1,1
432,1,2,2,14,14,4,1
433,1,2,2,11,11,8,1
434,1,2,2,17,18,8,6
435,2,1,1,9,9,5,4
436,2,1,2,14,15,8,6
437,1,1,2,9,8,5,4
438,1,2,2,13,12,8,8
439,2,1,2,14,9,6,3
440,2,2,1,15,16,8,7
441,1,2,2,10,9,8,3
442,2,2,1,11,12,8,7
443,1,0,2,9,9,6,1
444,1,1,2,9,9,5,4
445,1,2,2,15,15,8,6
446,2,1,2,9,8,4,3
447,1,2,2,12,14,3,1
448,1,1,1,13,6,8,5
449,1,2,2,10,15,4,3
450,2,1,2,9,9,5,3
451,1,2,1,8,9,6,6
452,2,2,1,12,17,8,5
453,2,2,2,13,13,8,3
454,1,0,1,9,10,3,1
455,1,1,2,9,9,5,4
456,1,2,2,13,14,8,8
457,2,2,1,11,12,8,7
458,1,2,2,13,10,8,7
459,2,2,1,8,9,5,5
460,1,1,2,13,12,8,8
461,2,2,1,13,13,8,5
462,2,1,1,16,8,5,2
463,1,2,2,9,8,6,5
464,1,1,1,11,13,5,5
465,1,1,1,13,13,8,7
466,2,1,1,9,9,7,3
467,2,2,2,9,9,6,5
468,1,1,2,10,10,8,6
469,1,1,2,12,11,8,4
470,2,2,2,13,15,6,6
471,1,3,2,11,12,8,8
472,1,1,2,11,10,8,8
473,1,2,2,10,9,5,3
474,1,2,2,10,8,8,3
475,2,0,2,9,8,4,4
476,1,2,2,13,8,5,1
477,1,2,1,13,10,2,2
478,1,1,2,11,10,8,5
479,1,2,2,19,18,8,7
480,2,1,1,10,13,5,3
481,2,1,2,9,9,5,5
482,1,2,1,9,8,4,1
483,1,2,1,12,11,7,6
484,2,1,1,12,13,6,3
485,2,2,1,9,10,7,5
486,1,2,2,15,15,8,6
487,1,2,2,12,10,8,5
488,2,2,2,9,9,5,5
489,1,1,2,11,11,8,8
490,2,0,1,9,9,4,4
491,2,2,1,13,14,7,7
492,1,1,1,10,5,3,1
493,2,2,1,15,9,3,1
494,2,1,1,9,10,2,1
495,1,2,2,11,10,8,6
496,1,2,2,9,8,3,3
497,2,2,1,10,11,5,4
498,1,1,2,13,13,6,5
499,2,3,1,15,15,6,4
500,1,2,2,12,12,8,1
501,2,3,2,13,13,8,8
502,1,0,1,9,10,6,6
503,2,0,1,10,9,6,4
504,1,2,2,10,10,5,5
505,1,2,1,9,8,6,5
506,2,2,1,15,15,5,4
507,1,2,2,15,14,4,4
508,2,2,1,8,8,3,3
509,2,2,1,10,13,6,5
510,1,1,2,11,11,7,3
511,1,1,1,12,11,3,3
512,1,0,1,10,10,5,5
513,2,2,1,10,11,4,3
514,1,2,2,14,12,8,6
515,1,2,2,15,15,8,5
516,1,2,1,15,12,8,4
517,1,2,2,8,8,3,1
518,1,1,2,9,10,8,7
519,2,1,1,10,12,8,3
520,2,2,1,14,14,8,6
521,1,0,1,8,10,6,5
522,2,1,1,10,11,8,8
523,2,2,1,11,11,8,6
524,1,1,2,9,9,5,5
525,2,2,1,12,12,4,1
526,1,2,2,9,9,7,3
527,1,1,2,14,14,8,6
528,2,2,1,9,10,4,4
529,1,2,2,9,7,6,3
530,2,2,1,7,5,4,2
531,2,1,1,11,12,4,4
532,1,1,2,14,13,8,2
533,1,1,1,6,8,5,3
534,2,2,1,12,13,5,3
535,2,2,1,11,12,8,5
536,1,1,2,10,9,3,1
537,2,2,2,10,10,8,7
538,2,1,1,12,12,8,3
539,1,2,1,10,9,5,3
540,1,2,1,11,10,8,5
541,1,2,2,10,10,6,5
542,2,1,2,10,10,6,4
543,1,1,2,18,15,8,7
544,1,2,2,8,9,8,1
545,2,1,1,10,10,7,5
546,1,2,2,18,10,8,2
547,1,1,1,15,13,7,6
548,1,1,2,10,8,5,3
549,2,2,1,11,12,6,4
550,1,1,2,9,9,5,4
551,1,1,2,10,9,5,3
552,2,1,1,11,11,8,7
553,1,1,2,12,9,6,4
554,1,1,2,8,15,3,1
555,1,2,1,15,14,5,3
556,2,1,1,10,9,6,3
557,1,1,1,12,10,5,4
558,2,1,1,15,9,4,3
559,1,2,2,14,13,7,5
560,2,2,1,9,9,4,3
561,1,0,2,16,15,3,2
562,1,1,2,9,9,7,5
563,1,1,2,11,10,8,8
564,1,1,2,11,12,5,1
565,2,2,1,10,12,6,6
566,1,2,2,10,10,6,4
567,1,2,2,15,15,3,1
568,1,1,2,10,10,7,3
569,1,0,2,10,9,5,5
570,1,1,1,12,14,7,6
571,1,1,2,10,9,8,3
572,1,2,1,9,8,5,4
573,1,2,1,9,13,4,3
574,2,2,2,18,18,5,3
575,2,2,1,11,12,8,6
576,1,2,1,15,9,4,1
577,1,1,1,17,9,8,5
578,2,2,1,9,10,6,6
579,1,1,1,12,13,8,6
580,2,2,2,16,17,8,8
581,2,1,2,9,9,5,4
582,1,2,2,9,9,3,1
583,2,2,1,17,13,8,6
584,1,2,1,10,11,3,3
585,2,2,1,14,14,7,1
586,1,1,2,10,9,6,4
587,1,2,2,9,9,2,1
588,2,2,1,12,13,8,8
589,2,2,2,15,16,8,5
590,2,1,1,8,8,7,4
591,2,2,2,11,11,8,3
592,2,2,1,9,10,8,7
593,2,2,1,11,10,8,2
594,1,2,2,9,10,6,5
595,2,1,1,11,10,5,3
596,1,1,2,9,9,8,7
597,1,1,1,10,10,6,6
598,2,1,1,14,14,8,7
599,1,2,2,16,15,8,4
600,2,2,1,15,9,6,2
601,2,1,1,9,9,5,3
602,1,2,2,9,9,7,2
603,2,2,1,9,10,6,4
604,1,1,2,8,9,8,1
605,2,0,2,8,8,4,2
606,1,1,2,16,8,6,4
607,2,3,1,13,14,7,5
608,2,0,1,13,13,2,1
609,1,1,2,10,9,6,2
610,1,1,1,11,10,8,8
611,1,1,2,10,10,5,5
612,1,6,2,11,10,8,4
613,2,1,1,10,6,4,3
614,1,2,2,12,11,6,3
615,1,2,1,10,9,5,5
616,2,2,2,10,13,6,3
617,1,2,2,12,12,8,7
618,1,2,2,9,9,4,4
619,2,2,1,19,20,8,8
620,1,2,2,9,9,3,1
621,1,2,1,9,9,8,4
622,2,2,1,17,15,8,5
623,2,0,1,11,11,8,5
624,1,1,2,9,9,8,6
625,2,1,1,9,9,7,1
626,1,1,2,14,12,8,7
627,1,2,2,13,9,8,5
628,1,2,2,11,11,6,3
629,2,3,1,17,17,8,5
630,2,1,1,9,10,3,3
631,2,2,1,9,10,4,4
632,1,3,1,9,9,3,2
633,1,1,1,13,9,3,1
